Номер машины,Город,Дата,Положение,Состояние (чистая),Состояние (битая),Салон (чистый),Салон (предметы),Состояние багажника,Пробег
н677мс,Бобруйск,июнь 2020,Нет фото правой стороны.,Чистая,Есть повреждения левой передней стороны. Есть повреждения левой стороны.,Чистый,С вещами,В багажнике посторонние предметы/грязь.,17263 км.
н677мс,Бобруйск,май 2020,Все фото есть.,Чистая,Повреждений нет.,Чистый,Без вещей,Багажник чист.,Неоднозначные показания одометра
